review_id,product_id,product_name,category,clean_text
mi-19380-247002211,19380,小米便携双模键盘,键盘,挺好用的。如果增加背光功能，就很完美了。配上打字机音效，很舒适。
mi-19380-246932331,19380,小米便携双模键盘,键盘,爱了，手感舒适，打字回弹性超好👍，没买到粉色，这款黄色也是很好看的，连接起来也很方便
mi-19380-247000164,19380,小米便携双模键盘,键盘,好用，手感也棒，多台设备间切换很顺手
mi-19380-246850061,19380,小米便携双模键盘,键盘,键盘手感超棒，敲击清脆回弹快，颜值高用着很舒服
mi-19380-246937271,19380,小米便携双模键盘,键盘,键盘收到了，真的很好用
mi-19380-246844826,19380,小米便携双模键盘,键盘,非常不错，不到70米的价格，很划算
mi-19380-246830616,19380,小米便携双模键盘,键盘,朋友生日礼物，真的质感很好，还便宜真的性价比很高。
mi-19380-246855868,19380,小米便携双模键盘,键盘,很不错，用起来很舒服
mi-19380-246798987,19380,小米便携双模键盘,键盘,用着还行，看看后续怎么样，价格很实惠，才89要啥自行车
mi-19380-246998949,19380,小米便携双模键盘,键盘,携带方便，很实用。
mi-19380-246747982,19380,小米便携双模键盘,键盘,用起来很舒服，质感很不错的一个键盘
mi-19380-246901138,19380,小米便携双模键盘,键盘,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
mi-19380-246804043,19380,小米便携双模键盘,键盘,好用，比罗技的好用的太多了，给个表扬。
mi-19380-246584969,19380,小米便携双模键盘,键盘,我入手了这套小米有线键盘，真的让我爱不释手。办公打字专用，反应快得飞起，没有连接卡顿，打字顺畅。而且，黑色外观高级感满满，和图片上一样好看，实物超赞👍。 键盘小巧，不占空间，放在桌上刚刚好。
mi-19380-246885188,19380,小米便携双模键盘,键盘,6666666666
mi-19380-246834199,19380,小米便携双模键盘,键盘,外观好看 声音几乎没有
mi-19380-246608434,19380,小米便携双模键盘,键盘,买来给笔记本用的，很方便携带的和笔记本一样长
mi-18336-243136058,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,很好用，小米键盘，太好用了，值得购买，连接迅速，服务好，送达较快！
mi-18336-222759934,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,键盘很方便携带，比另一个官方保护壳厚 还有一丢丢重，比上一代多了个触控板，好评啊
mi-18336-241302331,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,刚开始寄过来的商品有质量问题。客服服务态度好，反馈后马上重新换了新的键盘，售后服务和速度很棒！试用了一段时间，打字很方便，触感很好，跟手提的感觉一样
mi-18336-224665394,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,泰裤辣，背光键盘，还是素皮的，手感超级好的，旁边的华为MatePadpro甘拜下风，触点连接
mi-18336-224278064,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,这款键盘质感很好，就是不知道白色用久了会不会脏，难打理🥲
mi-18336-222904412,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,键位类似windows，快捷键能实现媒体控制，这方面比苹果的好 但是转轴的位置排线清晰可见
mi-18336-225923612,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,很好，满足使用就可以，黑色的是人造皮革，质感很好。触控板拖拽得一直按住，如果点击选中能拖拽就好了。按键很舒适，手大的话会显得有点局促。
mi-18336-227679501,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,很好，喜欢，非常棒 ，颜值高，价格优惠，质量很好，性价比超高…
mi-18336-227958218,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,犹豫很久还是选了带触控的键盘，果不其然带触控的使用起来很方便，刚开始不会开键盘灯去问客服，客服态度很好
mi-18336-223198956,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,为了码字才搭配买的这个键盘，键盘的回弹比较舒服，用起来很顺手，官方这个保护套触感很好，软软的，因为这个本来还想入手一下那个折叠保护壳，但是没有放触控笔的地方，如果能改进一下就好了。
mi-18336-224996106,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,匹配度高，很灵敏，按键舒适，皮质外壳很大气摸着舒服！
mi-18336-234220955,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,很不错，和平板的贴合很好，键盘很灵敏，触控板还可以手势导航，一直很信赖小米。
mi-18336-227774546,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,挺好的物美价廉性价比很高，家人很喜欢，样式简约大方，实用性也强很方便，放在家里也很合适，感觉质量也不错，哈哈，挺满意的，都挺OK
mi-18336-226635921,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,键盘敲击感很好，触控板摸起来很舒服，有灯光，磁吸很好
mi-18336-223667909,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,触控灵敏，手感一级好！简单的办个公完全没问题，爱了爱了，没有白等，小米永远不会让人失望！加油！
mi-18336-227410851,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,键盘灵敏性还是很不错，外观简洁，以下图片，供大家参考
mi-18336-224692716,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,包装嘎嘎好，气垫填充到位，商品全新，独立包装全新。平板做工精湛，性能超出预期的好。智控键盘套，完美，严丝合缝
mi-18336-224205425,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,功能可以，适合办公，变成随身笔记本。 当保护壳的话不介意买，和平板差不多一样重。
mi-18336-223039981,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,平板，键盘，触摸笔，保护壳，保护膜整一套。在小米商城买的第十七个商品，购物体验很好，产品也不错。
mi-18336-228425745,18336,Xiaomi Pad 6/6 Pro 智能触控键盘,键盘,触控灵敏，按键还带背灯，磁吸触点设计安装方便。不论打字还是玩网页小游戏都没问题，按键有多个快捷方式，办公方便。
mi-19668-241179785,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,使用体验很好，整体重量刚好可以接受，没有延迟
mi-19668-241115785,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,买平板的时候送的赠品，单独买要六七百，质量很好，磨砂质感。，不粘指纹，合起来和笔记本简直一模一样。自动吸附平板，自动连接。打开之后简直就是一个小笔记本，用了两天感觉很舒服。
mi-19668-241129701,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,智能触控键盘已收到，非常满意！使用后再来评价吧。
mi-19668-241081948,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,这款小米平板6s pro智能触控键盘太牛了 手感超好
mi-19668-240975052,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,这个键盘比较喜欢，关键是很好用，这是最重要的。
mi-19668-240813152,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,和平板连接合适，反应灵敏，流畅，质量不错。推荐推荐。大学时期到现在，手机，平板，键盘，触控笔都是小米。不愧是小米。
mi-19668-240038908,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,看着很舒服，简单易操作，白色这个手感很好，看着永远不腻
mi-19668-239697440,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,品质没问题，平板键盘保护膜，三件套入手👋
mi-19668-231039924,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,键盘相对上一代升级了不少，皮质不沾指纹，玻璃顺滑
mi-19668-238442205,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,键盘的手感和笔记本的差不多了，安装了还是很舒服的，黑屏开屏都不需要再去按旁边的按钮了，懒人的福音，键盘也还可以，可以用蓝牙，也是无线的，这个价位是不错了的
mi-19668-230398483,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,安卓最强平板，性能强劲，平板大气上档次，屏幕显示细腻，无论是看视频还是打游戏，体验感都满满，赔钱官方原装键盘，不要太好用，妥妥电脑级体验，触摸板用这也很舒服，一次非常愉快的购物体验，小米牛牛牛。
mi-19668-238489711,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,有些后悔没有和平板一起购买，单买真没有优惠，质感也是非常的好，操作起来真的方便快捷。
mi-19668-237642751,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,颜值挺高的，平板后面有个贴纸，需要撕掉才能通电。
mi-19668-238221269,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,买来之后发现不合适，包装破损，像是被拆过，里面的东西也是差点磕损，希望发货打包的时候用点心，虽然只是一个键盘，在只有一个物件的时候里面填充物给塞满，避免了运输过程中的磕损。 退货发现只显示寄修服务，联系客服认真回答问题，积极处理，售后这一块还是不错的，很满意。 最后希望小米越来越好，产品是大家最美好的见证，雷总加油，小米加油！！！
mi-19668-236056864,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,跟手，和手感很好，白色的有点不经脏，建议买黑色的
mi-19668-234142807,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,键盘挺好用除了价格高一点，别的全是优点，忠实米粉一枚
mi-19668-235663382,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，感觉很好，发货速度快，服务态度一流，给力！5星好评！
mi-19668-230157990,19668,Xiaomi Pad 6S Pro 智能触控键盘,键盘,键盘手感很不错，触控键盘与平板在部分场景使用是会会有匹配不到位的情况出现
